Cronartium ribicola
Gymnosporangium juniperi-virginianae
Hemileia vastatrix (Coffee rust)
Phakopsora meibomiae and P. pachyrhizi (Soybean rust)
Puccinia coronata (Crown Rust of Oats and Ryegrass)
Puccinia graminis
Puccinia hemerocallidis (Daylily rust)
Puccinia persistens subsp. triticina
Puccinia sorghi causes common rust in corn
Puccinia striiformis causes 'Yellow rust' in cereals.
Uromyces appendiculatus causes a rust of beans.
Uromyces phaseoli (Bean rust)
Puccinia melanocephala causes 'Brown rust' in sugarcane.
Puccinia kuehnii causes 'Orange rust' in sugarcane
Puccinia abrotani
Puccinia abrupta
Puccinia acetosae
Puccinia achilleae
Puccinia adjuncta
Puccinia adoxae
Puccinia aegopodii
Puccinia agrophila
Puccinia akiraho
Puccinia albescens
Puccinia alboclava
Puccinia albulensis
Puccinia aletridis
Puccinia allii
Puccinia amphigena
Puccinia andropogonis
Puccinia anemones-virginianae
Puccinia angelicae
Puccinia angustata
Puccinia anisotomes
Puccinia annularis
Puccinia antenori
Puccinia anthemidis
Puccinia antirrhini
Puccinia apii
Puccinia arachidis
Puccinia arenariae
Puccinia areolata
Puccinia argentata
Puccinia aristidae
Puccinia aristolochiae
Puccinia arnaudensis
Puccinia aromatica
Puccinia artemisiae-chamaemelifoliae
Puccinia artemisiicola
Puccinia arundinellae
Puccinia asarina
Puccinia asparagi
Puccinia asperulae-cynanchicae
Puccinia asphodeli
Puccinia asterum
Puccinia atkinsonii
Puccinia aucta
Puccinia austrina
Puccinia barkhausiae-rhoeadifoliae
Puccinia batatas
Puccinia behenis
Puccinia belamcandae
Puccinia betonicae
Puccinia bistortae
Puccinia blechni
Puccinia bonariensis
Puccinia brachypodii
Puccinia bulbocastani
Puccinia bupleuri
Puccinia burchardiae
Puccinia butleri
Puccinia buxi
Puccinia cacabata
Puccinia calcitrapae
Puccinia calosperma
Puccinia calthae
Puccinia calthicola
Puccinia cameliae
Puccinia campanulae
Puccinia canaliculata
Puccinia canariensis
Puccinia cancellata
Puccinia cannae
Puccinia caricina
Puccinia caricis-araliae[2]
Puccinia caricis-shepherdiae
Puccinia carthami
Puccinia caulicola
Puccinia celmisiae
Puccinia cephalandrae-indicae
Puccinia chaerophylli
Puccinia chaetochloae
Puccinia chathamica
Puccinia chloridis
Puccinia chrysanthemi
Puccinia chrysosplenii
Puccinia cicutae
Puccinia circaeae
Puccinia circumalpina
Puccinia citrina
Puccinia cladii
Puccinia clavata
Puccinia clintonii
Puccinia cnici
Puccinia cnici-oleracei
Puccinia coaetanea
Puccinia cockaynei
Puccinia cognata
Puccinia commelinae
Puccinia commelinae-benghalensis
Puccinia commutata
Puccinia conclusa
Puccinia congesta
Puccinia conii
Puccinia contegens
Puccinia coprosmae
Puccinia coronata
Puccinia costina
Puccinia cousiniae
Puccinia crepidicola
Puccinia crepidis-asadbarensis
Puccinia crepidis
Puccinia crepidis-montanae
Puccinia cribrata
Puccinia crinitae
Puccinia cuniculi
Puccinia cyani
Puccinia cygnorum
Puccinia cynodontis
Puccinia deyeuxiae-scabrescentis
Puccinia dichondrae
Puccinia difformis
Puccinia dioicae
Puccinia distichlidis
Puccinia distincta
Puccinia distorta
Puccinia drabae
Puccinia dracunculina
Puccinia duthiei
Puccinia egmontensis
Puccinia elymi
Puccinia elytrariae
Puccinia emaculata
Puccinia embergeriae
Puccinia enceliae
Puccinia epilobii
Puccinia erianthi
Puccinia eriophori
Puccinia erythropus
Puccinia euphrasiana
Puccinia eutremae
Puccinia evadens
Puccinia extensicola
Puccinia falcariae
Puccinia fergussonii
Puccinia ferruginosa
Puccinia festucae
Puccinia flaccida
Puccinia flaveriae
Puccinia flavescens
Puccinia flourensiae
Puccinia fodiens
Puccinia foyana
Puccinia fragosoana
Puccinia freycinetiae
Puccinia gahniae
Puccinia galii-cruciatae
Puccinia galii-verni
Puccinia gei
Puccinia gei-parviflori
Puccinia gentianae
Puccinia geranii-pilosi
Puccinia gigantea
Puccinia gigantispora
Puccinia gladioli
Puccinia glechomatis
Puccinia glomerata
Puccinia gnaphaliicola
Puccinia grahamii
Puccinia graminis
Puccinia granulispora
Puccinia harknessii
Puccinia hectorensis
Puccinia hederaceae
Puccinia helianthi
Puccinia helianthi-mollis
Puccinia heliconiae
Puccinia hemerocallidis
Puccinia heraclei
Puccinia heterospora
Puccinia heucherae
