Allergy Meridian (for full) 6151113
Connective tissue degenerations meridian (for full) 34920107
Bladder 10121817
Blockade of a meridian (filter) 1031154
Colon Meridian 91435667
Three Warmer Meridian 36132310
Small Intestine Meridian 2496667
Adipose tissue degenerations meridian (for full) 23211215
Gallen Meridian 52157737
Joint degeneration Meridian (for full) 2514861
Skin degenerations meridian (for full) 26106177
Heart Meridian 11147510
Individually weakest Meridian, due to the plant (filter) 76611166
Conception Vessel (Meridian) 1513461
Headache (3 Warmer mermeridian type) 31519818
Headache (bladder meridian type) 12461256
Headache (gallbladder meridian type) 7385121
Headache (stomach meridian type) 35369960
Circulatory sexuality meridian 11761130
Liver Meridian 2525667
Handlebar vessel (Meridian) 12100177
Lung meridian 12818737
Lymph meridian (for full) 25205667
Magen Meridian 1495667
Maximum disturbed Meridian (filter) 1111661
Maximum disturbing Meridian (filter) 32223206
Meridian compensate (filter) 18121121
Meridian strengthening (energiser essences) 11877596
Meridian sedate (filter) 1829777
Meridian tonisieren (Filter) 18311405
Meridian harmonisation, general 18104335
Meridian harmonisation komplette (Rates in Code) 13056687
Meridian Short (filter) 1021617
Spleen Meridian 15231817
Nerve Generation Meridian (for full) 49141130
Kidney Meridian 11818737
Organ meridian degeneration (for full) 31010127
Personal Constitution Meridian (filter) 75211706
Yang level of a meridian (filter) 17361712
Yin level of a meridian (filter) 98111314
MAIN MERIDIAN POINTS  LUNGS 5555376
MAIN MERIDIAN POINTS  L1  55610 96
MAIN MERIDIAN POINTS  L2  552578
MAIN MERIDIAN POINTS  L3  556381
MAIN MERIDIAN POINTS  L4  552685
MAIN MERIDIAN POINTS  L5  5510 451
MAIN MERIDIAN POINTS  L6  550284
MAIN MERIDIAN POINTS  L7  557784
MAIN MERIDIAN POINTS  L8  554989
MAIN MERIDIAN POINTS  L9  556564
MAIN MERIDIAN POINTS  L10  556797
MAIN MERIDIAN POINTS  L11  557971 
MAIN MERIDIAN POINTS  Large Intestine 8898636
MAIN MERIDIAN POINTS  Li l  88477
MAIN MERIDIAN POINTS  Li 2  886582
MAIN MERIDIAN POINTS  Li 3  884555
MAIN MERIDIAN POINTS  Li 4  88310 82
MAIN MERIDIAN POINTS  Li S  882333
MAIN MERIDIAN POINTS  Li 6  886458
MAIN MERIDIAN POINTS  Li 7   883506
MAIN MERIDIAN POINTS  Li S  885684
MAIN MERIDIAN POINTS  Li 9  88610 04
MAIN MERIDIAN POINTS  Li 10  886706
MAIN MERIDIAN POINTS  Li 11  8810676
MAIN MERIDIAN POINTS  Li 12  88 10 925
MAIN MERIDIAN POINTS  Li 13  886011
MAIN MERIDIAN POINTS  Li 14  887710  7 
MAIN MERIDIAN POINTS  Li 15  888735
MAIN MERIDIAN POINTS  Li 16  888005
MAIN MERIDIAN POINTS  Li 17  887536
MAIN MERIDIAN POINTS  Li 18  887535
