Achillea millefolium, common yarrow
Achillea nobilis, noble yarrow
Achillea ptarmica, sneezeweed
Acroptilon repens, Russian knapweed
Adenocaulon bicolor, American trailplant
Ageratina occidentalis, western boneset
Agoseris aurantiaca, orange agoseris
Agoseris glauca, pale agoseris
Agoseris glauca var. dasycephala, pale agoseris
Agoseris glauca var. glauca, pale agoseris
Agoseris grandiflora, large-flower agoseris
Agoseris heterophylla, annual agoseris
Agoseris lackschewitzii, pink agoseris
Agoseris parviflora, steppe agoseris
Almutaster pauciflorus, alkali marsh aster
Ambrosia acanthicarpa, flat-spine bursage
Ambrosia artemisiifolia, annual ragweed
Ambrosia psilostachya, naked-spike ambrosia
Ambrosia tomentosa, skeleton-leaf bursage
Ambrosia trifida, great ragweed
Anaphalis margaritacea, pearly everlasting
Antennaria alpina, alpine pussytoes
Antennaria anaphaloides, tall pussytoes
Antennaria aromatica, aromatic pussytoes
Antennaria corymbosa, meadow pussytoes
Antennaria densifolia, dense-leaved pussytoes
Antennaria dimorpha, low pussytoes
Antennaria howellii, Howell's pussytoes
Antennaria lanata, woolly pussytoes
Antennaria luzuloides, rush pussytoes
Antennaria media, rocky mountain pussytoes
Antennaria microphylla, littleleaf pussytoes
Antennaria monocephala, single-head pussytoes
Antennaria neglecta, field pussytoes
Antennaria parvifolia, Nuttall's pussytoes
Antennaria pulcherrima, showy pussytoes
Antennaria racemosa, racemose pussytoes
Antennaria rosea, rosy pussytoes
Antennaria umbrinella, umber pussytoes
Anthemis arvensis, corn camomile
Anthemis cotula, mayweed
Anthemis tinctoria, golden camomile
Arctium lappa, greater burdock
Arctium minus, lesser burdock
Arnica amplexicaulis, stream-bank arnica
Arnica angustifolia, narrowleaf arnica
Arnica chamissonis, leafy arnica
Arnica cordifolia, heart-leaved arnica
Arnica fulgens, hillside arnica
Arnica latifolia, mountain arnica
Arnica latifolia var. gracilis, smallhead arnica
Arnica longifolia, long-leaf arnica
Arnica mollis, hairy arnica
Arnica parryi, nodding arnica
Arnica rydbergii, subalpine arnica
Arnica sororia, twin arnica
Arnica × diversifolia, rayless arnica
Artemisia absinthium, common wormwood
Artemisia annua, annual wormwood
Artemisia arbuscula, dwarf sagebrush
Artemisia biennis, biennial wormwood
Artemisia campestris, field sagewort
Artemisia campestris subsp. borealis, boreal field sagewort
Artemisia campestris subsp. caudata, field sagewort
Artemisia cana, silver sagebrush
Artemisia cana subsp. cana, silver sagebrush
Artemisia cana subsp. viscidula, silver sagebrush
Artemisia dracunculus, tarragon
Artemisia frigida, fringed sage
Artemisia lindleyana, Columbia River wormwood
Artemisia longifolia, longleaf wormwood
Artemisia longiloba, alkali sagebrush
Artemisia ludoviciana, white sagebrush
Artemisia ludoviciana subsp. candicans, white sagebrush
Artemisia ludoviciana subsp. incompta, white sagebrush
Artemisia ludoviciana subsp. ludoviciana, white sagebrush
Artemisia michauxiana, Michaux's wormwood
Artemisia norvegica, boreal wormwood
Artemisia nova, black sagebrush
Artemisia pedatifida, bird's-foot sagebrush
Artemisia rigida, scabland sagebrush
Artemisia scopulorum, alpine sagebrush
Artemisia spinescens, budsage
Artemisia tilesii, Tilesius wormwood
Artemisia tridentata, big sagebrush
Artemisia tridentata subsp. tridentata, basin big sagebrush
Artemisia tridentata subsp. vaseyana, mountain big sagebrush
Artemisia tridentata subsp. wyomingensis, Wyoming big sagebrush
Artemisia tripartita, three-tip sagebrush
Artemisia tripartita subsp. rupicola, Wyoming threetip sagebrush
Artemisia tripartita subsp. tripartita, threetip sagebrush
Balsamorhiza hookeri, Hooker's balsamroot
Balsamorhiza incana, hoary balsamroot
Balsamorhiza macrophylla, large-leaved balsamroot
Balsamorhiza sagittata, arrowleaf balsamroot
Bellis perennis, lawn daisy
Bidens beckii, beck water-marigold
Bidens cernua, nodding beggarticks
Bidens comosa, three-lobe beggarticks
Bidens frondosa, devil's beggarticks
Bidens vulgata, tall bur-marigold
Brickellia eupatorioides, thoroughwort brickellbush
Brickellia grandiflora, tasselflower brickellbush
Brickellia oblongifolia, mojave brickellbush
Canadanthus modestus, great northern aster
Carduus acanthoides, spiny plumeless-thistle
Carduus nutans, musk thistle
Centaurea cyanus, garden cornflower
Centaurea diffusa, diffuse knapweed
Centaurea jacea, brown starthistle
Centaurea montana, mountain starthistle
Centaurea nigra, black starthistle
Centaurea scabiosa, great starthistle
Centaurea solstitialis, yellow starthistle
Centaurea stoebe, spotted knapweed
Centaurea virgata, squarrose knapweed
Chaenactis alpina, hoary pincushion
Chaenactis douglasii, dusty maiden
Chondrilla juncea, rush skeletonweed
Chrysothamnus viscidiflorus, sticky-leaf rabbitbrush
Cichorium intybus, chicory
Cirsium arvense, Canada thistle
Cirsium brevistylum, short-styled thistle
Cirsium canescens, prairie thistle
Cirsium canovirens, gray green thistle
Cirsium eatonii, Eaton's thistle
Cirsium flodmanii, Flodman's thistle
Cirsium foliosum, leafy thistle
Cirsium hookerianum, hooker thistle
Cirsium longistylum, long-styled thistle
Cirsium pulcherrimum, Wyoming thistle
Cirsium scariosum, meadow thistle
Cirsium subniveum, Jackson Hole thistle
Cirsium undulatum, wavyleaf thistle
Cirsium vulgare, bull thistle
Conyza canadensis, Canada horseweed
Coreopsis tinctoria, golden tickseed
Crepis acuminata, longleaf hawk's-beard
Crepis atribarba, slender hawksbeard
Crepis elegans, elegant hawk's-beard
Crepis intermedia, small-flower hawk's-beard
Crepis modocensis, siskiyou hawk's-beard
Crepis nana, dwarf alpine hawk's-beard
Crepis nicaeensis, Turkish hawksbeard
Crepis occidentalis, gray hawk's-beard
Crepis runcinata, naked-stem hawk's-beard
Crepis runcinata subsp. glauca, fiddleleaf hawksbeard
Crepis runcinata subsp. hispidulosa, fiddleleaf hawksbeard
Crepis runcinata subsp. runcinata, fiddleleaf hawksbeard
Crepis setosa, bristly hawk's-beard
Crepis tectorum, narrowleaf hawk's-beard
Dyssodia papposa, fetid dogweed
Echinacea angustifolia, narrow-leaved purple coneflower
Ericameria discoidea, whitestem goldenbush
Ericameria discoidea var. discoidea, whitestem goldenbush
Ericameria discoidea var. linearis, linear-leaved whitestem goldenbush
Ericameria nana, dwarf goldenweed
Ericameria nauseosa, rubber rabbitbrush
Ericameria parryi, Parry's rabbitbrush
Ericameria parryi var. montana, Parry's mountain rabbitbrush
Ericameria suffruticosa, single-head goldenweed
Erigeron acris, bitter fleabane
Erigeron acris subsp. debilis, bitter fleabane
Erigeron acris subsp. kamtschaticus, bitter fleabane
Erigeron allocotus, Bighorn fleabane
Erigeron asperugineus, Idaho fleabane
Erigeron caespitosus, caespitose fleabane
Erigeron compositus, cutleaf fleabane
Erigeron corymbosus, longleaf fleabane
Erigeron coulteri, Coulter fleabane
Erigeron divergens, spreading fleabane
Erigeron eatonii, Eaton's fleabane
Erigeron evermannii, Evermann fleabane
Erigeron filifolius, threadleaf fleabane
Erigeron flabellifolius, fan-leaved fleabane
Erigeron flagellaris, running fleabane
Erigeron formosissimus, beautiful fleabane
Erigeron glabellus, smooth fleabane
Erigeron glabellus var. glabellus, streamside fleabane
Erigeron glabellus var. pubescens, streamside fleabane
Erigeron gracilis, slender fleabane
Erigeron grandiflorus, large-flower fleabane
Erigeron humilis, low fleabane
Erigeron lackschewitzii, Lackschewitz' fleabane
Erigeron lanatus, woolly fleabane
Erigeron leiomerus, smooth fleabane
Erigeron linearis, linear-leaf fleabane
Erigeron lonchophyllus, short-ray fleabane
Erigeron ochroleucus, buff fleabane
Erigeron ochroleucus var. ochroleucus, buff fleabane
Erigeron ochroleucus var. scribneri, buff fleabane
Erigeron parryi, Parry's fleabane
Erigeron peregrinus, subalpine fleabane
Erigeron philadelphicus, Philadelphia fleabane
Erigeron pumilus, shaggy fleabane
Erigeron radicatus, taprooted fleabane
Erigeron rydbergii, Rydberg's fleabane
Erigeron simplex, one-stem fleabane
Erigeron speciosus, aspen fleabane
Erigeron strigosus, daisy fleabane
Erigeron subtrinervis, three-nerve fleabane
Erigeron tener, slender fleabane
Erigeron tweedyi, tweedy's fleabane
Erigeron ursinus, bear river fleabane
Eriophyllum lanatum, common woolly-sunflower
Eriophyllum lanatum var. integrifolium, common woolly sunflower
Eriophyllum lanatum var. lanatum, common woolly-sunflower
Eucephalus elegans, elegant aster
Eucephalus engelmannii, Engelmann's aster
Eupatorium maculatum, spotted joepye-weed
Eupatorium occidentale, western joepye-weed
Eurybia conspicua, showy aster
Eurybia glauca, gray aster
Eurybia integrifolia, thick-stem aster
Eurybia merita, subalpine aster
Eurybia sibirica, arctic aster
Euthamia graminifolia, flat-top fragrant goldenrod
Euthamia occidentalis, western fragrant goldenrod
Evax prolifera, big-head evax
Filago arvensis, field fluffweed
Gaillardia aristata, great blanket-flower
Galinsoga quadriradiata, fringed quickweed
Gnaphalium macounii, Macoun's cudweed
Gnaphalium microcephalum, white cudweed
Gnaphalium palustre, western marsh cudweed
Gnaphalium purpureum, purple cudweed
Gnaphalium stramineum, cotton-batting cudweed
Gnaphalium uliginosum, low cudweed
Grindelia howellii, Howell's gumweed
Grindelia nana, Idaho gumweed
Grindelia squarrosa, curlycup gumweed
Gutierrezia sarothrae, broom snakeweed
Helenium autumnale, common sneezeweed
Helenium hoopesii, orange sneezeweed
Helianthella quinquenervis, nodding rockrose
Helianthella uniflora, Rocky Mountain rockrose
Helianthus annuus, common sunflower
Helianthus maximiliani, Maximillian sunflower
Helianthus nuttallii, Nuttall's sunflower
Helianthus pauciflorus, stiff sunflower
Helianthus petiolaris, prairie sunflower
Helianthus × laetiflorus, hybrid prairie sunflower
Heterotheca villosa, hairy golden-aster
Heterotheca villosa var. depressa, low golden aster
Heterotheca villosa var. foliosa, hairy false goldenaster
Heterotheca villosa var. minor, hairy false goldenaster
Heterotheca villosa var. villosa, hairy false goldenaster
Hieracium albiflorum, white-flower hawkweed
Hieracium aurantiacum, orange hawkweed
Hieracium caespitosum, meadow hawkweed
Hieracium gracile, alpine hawkweed
Hieracium praealtum, kingdevil
Hieracium scouleri, Scouler's hawkweed
Hieracium scouleri var. albertinum, Albert's hawkweed
Hieracium scouleri var. griseum, hound's-tongue hawkweed
Hieracium scouleri var. scouleri, Scouler's hawkweed
Hieracium umbellatum, narrowleaf hawkweed
Hulsea algida, alpine hulsea
Hymenopappus filifolius, fine-leaved hymenopappus
Hymenopappus filifolius var. luteus, yellowish hymenopappus
Hymenopappus filifolius var. polycephalus, manyhead hymenopappus
Hymenoxys acaulis, stemless four-nerve-daisy
